epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,1340.85,0.41893,2.86734,0.33364,0.30776,1.22635,0.97231,1,0.97026,0.88798,0.84092,0.86486,0.78907,0.38693,0.43726,2.89303,0.16523,0.35575,1.33545,0.000364863,0.000364863,0.000364863
37,1376.54,0.40731,2.99289,0.34026,0.30341,1.21942,0.97235,1,0.98789,0.89514,0.84095,0.86486,0.84036,0.38978,0.54753,3.42664,0.10455,0.35823,1.4714,0.00035788,0.00035788,0.00035788
38,1414.93,0.41036,2.76652,0.32472,0.30738,1.21289,0.97237,1,0.97447,0.92019,0.84097,0.86486,0.79196,0.41976,0.60514,3.02239,0.11707,0.3991,1.53261,0.000350794,0.000350794,0.000350794
39,1465.68,0.42945,2.76257,0.32858,0.32098,1.22359,0.97226,1,0.97237,0.92231,0.84088,0.86486,0.75921,0.41614,0.49289,2.7832,0.11586,0.39334,1.50837,0.000343611,0.000343611,0.000343611
40,1494.3,0.39191,2.75174,0.3313,0.30301,1.20097,0.97234,1,0.96947,0.88855,0.84113,0.86486,0.85839,0.48896,0.53095,2.77658,0.12637,0.38385,1.4369,0.000336338,0.000336338,0.000336338
41,1522.34,0.40858,2.81055,0.32124,0.30189,1.21263,0.97234,1,0.97868,0.89319,0.8412,0.86486,0.84959,0.43055,0.5113,2.82378,0.11127,0.37304,1.37833,0.000328982,0.000328982,0.000328982
42,1556.07,0.41396,2.82552,0.32629,0.30739,1.20962,0.97238,1,0.98237,0.89386,0.84098,0.86486,0.84811,0.45587,0.60166,2.84481,0.12524,0.4065,1.51887,0.00032155,0.00032155,0.00032155
43,1600.23,0.39086,2.84126,0.32611,0.30239,1.19402,0.97239,1,0.99289,0.92815,0.84098,0.86486,0.78887,0.3493,0.52844,2.98404,0.11644,0.41574,1.36487,0.000314051,0.000314051,0.000314051
44,1634.09,0.38739,2.7361,0.31311,0.29935,1.18827,0.97231,1,0.97447,0.89068,0.84092,0.86486,0.79842,0.44588,0.4302,2.9023,0.10189,0.33697,1.3683,0.00030649,0.00030649,0.00030649
45,1668.34,0.41583,2.66843,0.30361,0.29271,1.20662,0.97231,1,0.97605,0.89327,0.84092,0.86486,0.75331,0.43439,0.37318,2.64888,0.10397,0.29324,1.30474,0.000298877,0.000298877,0.000298877
46,1707.62,0.41566,2.63858,0.31413,0.29931,1.20482,0.97231,1,0.98579,0.90268,0.84092,0.86486,0.7802,0.45094,0.41536,2.63474,0.11127,0.33968,1.3388,0.000291218,0.000291218,0.000291218
47,1734.63,0.37935,2.75509,0.31631,0.27789,1.17897,0.97233,1,0.98447,0.90094,0.84094,0.86486,0.77776,0.41612,0.48371,2.89322,0.12023,0.38072,1.41873,0.00028352,0.00028352,0.00028352
48,1764.08,0.3944,2.58151,0.29578,0.28326,1.20422,0.97231,1,0.97605,0.89647,0.84091,0.86486,0.77776,0.4529,0.49567,2.64941,0.09271,0.35959,1.42302,0.000275792,0.000275792,0.000275792
49,1799.74,0.39224,2.6244,0.3101,0.27853,1.20281,0.97234,1,0.98079,0.90589,0.84094,0.86486,0.7792,0.44227,0.60557,2.7368,0.10118,0.35948,1.54276,0.000268041,0.000268041,0.000268041
50,1836.62,0.37464,2.52951,0.30536,0.27964,1.1775,0.97232,1,0.98447,0.89323,0.84093,0.86486,0.77131,0.47442,0.61785,2.68354,0.10667,0.40721,1.59535,0.000260274,0.000260274,0.000260274
51,1880.49,0.38768,2.53103,0.28625,0.28518,1.19793,0.97228,1,0.98868,0.91267,0.8409,0.86486,0.79631,0.46783,0.5176,2.71977,0.09932,0.38781,1.37355,0.0002525,0.0002525,0.0002525
52,1917.27,0.38402,2.58566,0.3035,0.28279,1.19499,0.97225,1,0.97158,0.91816,0.84087,0.86486,0.7792,0.47085,0.50186,2.67009,0.10352,0.36684,1.2838,0.000244726,0.000244726,0.000244726
